"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ P70 _ Left _ 1",-209.366458311127,173.187570094507,-2507.34944210465,-188.63834710642,163.968988398956,-2513.31104748135
"OPTOTRAK _ P70 _ Left _ 1",-209.395436713141,173.188658543578,-2507.46809608327,-188.710283374479,163.979337721036,-2513.38694953891
"OPTOTRAK _ P70 _ Left _ 1",-209.415413970122,173.158709137134,-2507.5342558085,-188.786443223926,163.955760744544,-2513.40221937228
"OPTOTRAK _ P70 _ Left _ 1",-209.422506676681,173.092447139324,-2507.52529267859,-188.859810249882,163.891491957608,-2513.33863100433
"OPTOTRAK _ P70 _ Left _ 1",-209.416080802378,172.991259403425,-2507.43319616179,-188.924961514646,163.787199462076,-2513.19359467502
"OPTOTRAK _ P70 _ Left _ 1",-209.399460999507,172.863997948564,-2507.26890226401,-188.979708166328,163.652002768681,-2512.98353523097
"OPTOTRAK _ P70 _ Left _ 1",-209.379366980793,172.725777314039,-2507.06139244403,-189.025749524522,163.502231902406,-2512.74199558608
"OPTOTRAK _ P70 _ Left _ 1",-209.364077500773,172.594886939538,-2506.85127481043,-189.068051293197,163.35808440538,-2512.51237275479
"OPTOTRAK _ P70 _ Left _ 1",-209.360830811259,172.488587754912,-2506.68047054374,-189.113126903771,163.239046872816,-2512.33703588736
"OPTOTRAK _ P70 _ Left _ 1",-209.373315417472,172.418994660776,-2506.58104412824,-189.166809086387,163.159389795881,-2512.24593543967
"OPTOTRAK _ P70 _ Left _ 1",-209.400129754936,172.39029138028,-2506.56660198144,-189.232272754743,163.125061608546,-2512.24818791944
"OPTOTRAK _ P70 _ Left _ 1",-209.434790741972,172.398142472389,-2506.62891408783,-189.308944941723,163.132886371775,-2512.3293477984
"OPTOTRAK _ P70 _ Left _ 1",-209.467372502036,172.431486665115,-2506.74078967822,-189.392599495842,163.172254960953,-2512.45538647368
"OPTOTRAK _ P70 _ Left _ 1",-209.487333454643,172.476158537671,-2506.86434009586,-189.476558007622,163.228744241329,-2512.58233882912
"OPTOTRAK _ P70 _ Left _ 1",-209.486709286728,172.519239347744,-2506.96220766926,-189.553635113349,163.288551124695,-2512.66883844537
"OPTOTRAK _ P70 _ Left _ 1",-209.462725969011,172.552840646294,-2507.00856002926,-189.618300745438,163.342437360242,-2512.68790950326
"OPTOTRAK _ P70 _ Left _ 1",-209.41904989034,172.576211990776,-2506.99677823381,-189.668462508487,163.38806565431,-2512.63464952757
"OPTOTRAK _ P70 _ Left _ 1",-209.365276218762,172.595568082643,-2506.94168564465,-189.706309944082,163.430088675386,-2512.52767228671
"OPTOTRAK _ P70 _ Left _ 1",-209.314735925696,172.621710111639,-2506.87561807867,-189.737850843795,163.478000077785,-2512.40396641865
"OPTOTRAK _ P70 _ Left _ 1",-209.281145181812,172.666183234465,-2506.83929332748,-189.771116777954,163.542414077345,-2512.30864559508
"OPTOTRAK _ P70 _ Left _ 1",-209.274930086572,172.73716626217,-2506.86990035234,-189.813449323662,163.630927086221,-2512.28243988505
"OPTOTRAK _ P70 _ Left _ 1",-209.300174385837,172.836377008743,-2506.98968701421,-189.868652031466,163.744866304917,-2512.35035753264
"OPTOTRAK _ P70 _ Left _ 1",-209.353025205694,172.95795859042,-2507.19829693593,-189.934936887185,163.877975373274,-2512.51459036382
"OPTOTRAK _ P70 _ Left _ 1",-209.422057327305,173.089692349058,-2507.4711534259,-190.004412625179,164.017498755224,-2512.75355028112
"OPTOTRAK _ P70 _ Left _ 1",-209.490606739616,173.216169241841,-2507.76454691805,-190.064408605736,164.147390570051,-2513.02723976918
"OPTOTRAK _ P70 _ Left _ 1",-209.540564433294,173.322970199816,-2508.0261975307,-190.100378787945,164.252716666807,-2513.28744280653
"OPTOTRAK _ P70 _ Left _ 1",-209.556717668782,173.400622782754,-2508.20847710351,-190.099672719481,164.323940620628,-2513.48994378353
"OPTOTRAK _ P70 _ Left _ 1",-209.530553011026,173.447180366431,-2508.28067192099,-190.05519996058,164.359804028773,-2513.60547957325
"OPTOTRAK _ P70 _ Left _ 1",-209.462538146318,173.468676432295,-2508.23691014168,-189.967980827716,164.367924330399,-2513.6265246764
"OPTOTRAK _ P70 _ Left _ 1",-209.362249227716,173.477325471823,-2508.09759315777,-189.847777551706,164.362904963709,-2513.56818468666
"OPTOTRAK _ P70 _ Left _ 1",-209.246227639625,173.487998609557,-2507.90397833793,-189.711430392803,164.362472797839,-2513.4631019447
"OPTOTRAK _ P70 _ Left _ 1",-209.134021036557,173.514002135884,-2507.70742283548,-189.579121443873,164.382721032985,-2513.35189409627
"OPTOTRAK _ P70 _ Left _ 1",-209.043350132051,173.563379037088,-2507.55619197163,-189.469409700238,164.433791946219,-2513.2717918115
"OPTOTRAK _ P70 _ Left _ 1",-208.985610589168,173.63678037655,-2507.4833033914,-189.394326183389,164.517207921175,-2513.24653039046
"OPTOTRAK _ P70 _ Left _ 1",-208.962884821867,173.727473562288,-2507.49851410583,-189.355913432433,164.625577214116,-2513.28014367365
"OPTOTRAK _ P70 _ Left _ 1",-208.96730192251,173.823421389831,-2507.58641370433,-189.345275148999,164.744707243319,-2513.35626134388
"OPTOTRAK _ P70 _ Left _ 1",-208.983025801553,173.910771997286,-2507.7110023471,-189.344554180996,164.857473732244,-2513.44308097718
"OPTOTRAK _ P70 _ Left _ 1",-208.990499746349,173.977717548418,-2507.8255185628,-189.331474357803,164.948325671291,-2513.50270363957
"OPTOTRAK _ P70 _ Left _ 1",-208.971971251445,174.017613582171,-2507.88501357996,-189.285377831207,165.007175045245,-2513.5023561349
"OPTOTRAK _ P70 _ Left _ 1",-208.916901929538,174.030508566819,-2507.85851132701,-189.193231862285,165.031642403201,-2513.42448884917
"OPTOTRAK _ P70 _ Left _ 1",-208.825759138537,174.022721331573,-2507.73767672536,-189.053977357839,165.027125151134,-2513.27298202562
"OPTOTRAK _ P70 _ Left _ 1",-208.710977496489,174.004667716592,-2507.53973057966,-188.87990591397,165.004774886113,-2513.07365175636
"OPTOTRAK _ P70 _ Left _ 1",-208.594567855818,173.987616917944,-2507.30374379568,-188.694464150595,164.978036745887,-2512.86868724637
"OPTOTRAK _ P70 _ Left _ 1",-208.502790143954,173.980331864095,-2507.08111475091,-188.526844534989,164.958766721512,-2512.70624135808
"OPTOTRAK _ P70 _ Left _ 1",-208.459209238613,173.986555758909,-2506.92256473641,-188.404656566302,164.954013760662,-2512.62775882296
