"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ P82 _ Right _ 3",249.836345931593,-186.929896827512,-2367.86547501192,260.027729695888,-177.294402581464,-2379.87364741241
"OPTOTRAK _ P82 _ Right _ 3",249.850167305488,-186.935884853083,-2367.87227366074,260.041416268604,-177.298327263308,-2379.8784394757
"OPTOTRAK _ P82 _ Right _ 3",249.866864558333,-186.941232051091,-2367.87776252987,260.057511190953,-177.30243915567,-2379.88285025562
"OPTOTRAK _ P82 _ Right _ 3",249.883939394398,-186.945707809666,-2367.88153725284,260.073697051978,-177.30657589084,-2379.88643163487
"OPTOTRAK _ P82 _ Right _ 3",249.898059191501,-186.949468191181,-2367.88369962779,260.086959988915,-177.310714870879,-2379.88894186617
"OPTOTRAK _ P82 _ Right _ 3",249.905658019789,-186.952980534803,-2367.88476822796,260.094100143877,-177.314964484093,-2379.89036992678
"OPTOTRAK _ P82 _ Right _ 3",249.90373343004,-186.956825999396,-2367.88545383577,260.09240113139,-177.319501856912,-2379.89091269856
"OPTOTRAK _ P82 _ Right _ 3",249.890651188777,-186.961482124326,-2367.88645019099,260.080323904668,-177.324499951509,-2379.89096715851
"OPTOTRAK _ P82 _ Right _ 3",249.866736184289,-186.967177956734,-2367.88834966914,260.05805932466,-177.330073083136,-2379.891147919
"OPTOTRAK _ P82 _ Right _ 3",249.834462321686,-186.973844161289,-2367.89165928487,260.02777625175,-177.336229417024,-2379.89225491507
"OPTOTRAK _ P82 _ Right _ 3",249.798146413239,-186.981114781912,-2367.89678243882,259.993441621395,-177.342799043678,-2379.89509141793
"OPTOTRAK _ P82 _ Right _ 3",249.763171656593,-186.988326049005,-2367.90383712216,259.960170800193,-177.34932969928,-2379.9001036825
"OPTOTRAK _ P82 _ Right _ 3",249.73488788611,-186.994501434723,-2367.91230594692,259.933192084972,-177.354989499651,-2379.90693540203
"OPTOTRAK _ P82 _ Right _ 3",249.717433756496,-186.998372853374,-2367.92068329903,259.916652579292,-177.358549725555,-2379.91408954605
"OPTOTRAK _ P82 _ Right _ 3",249.712768464407,-186.998512928238,-2367.92637986956,259.912587269367,-177.358512970522,-2379.91890418136
"OPTOTRAK _ P82 _ Right _ 3",249.720159669654,-186.993611051614,-2367.92607303378,259.920351621777,-177.353399147448,-2379.91795038264
"OPTOTRAK _ P82 _ Right _ 3",249.736255081706,-186.982839622153,-2367.91648085861,259.936677864281,-177.342128671934,-2379.90778896164
"OPTOTRAK _ P82 _ Right _ 3",249.755712954776,-186.966189372125,-2367.89532474483,259.95632793153,-177.324388900259,-2379.88587159431
"OPTOTRAK _ P82 _ Right _ 3",249.772239213887,-186.944648313825,-2367.86215343795,259.973166943306,-177.300864425337,-2379.85131529562
"OPTOTRAK _ P82 _ Right _ 3",249.779811049754,-186.920150561341,-2367.81875022283,259.981409696207,-177.273252095282,-2379.80532351227
"OPTOTRAK _ P82 _ Right _ 3",249.773856537488,-186.895294093723,-2367.76898365231,259.976788796978,-177.244044631994,-2379.75113407256
"OPTOTRAK _ P82 _ Right _ 3",249.752183709,-186.872891241451,-2367.71812911507,259.957428736271,-177.216128370799,-2379.69350296723
"OPTOTRAK _ P82 _ Right _ 3",249.715494071552,-186.855457783218,-2367.6718354882,259.924267872559,-177.1922861627,-2379.63785215181
"OPTOTRAK _ P82 _ Right _ 3",249.667375941333,-186.844759916074,-2367.63500210532,259.88094734582,-177.174719053996,-2379.58929285519
"OPTOTRAK _ P82 _ Right _ 3",249.613756593634,-186.841521256736,-2367.61084667176,259.833180371584,-177.164695920891,-2379.55176091255
"OPTOTRAK _ P82 _ Right _ 3",249.561892129495,-186.845348795884,-2367.60038305846,259.787713734468,-177.162407501208,-2379.52745806458
"OPTOTRAK _ P82 _ Right _ 3",249.519071291004,-186.854881293753,-2367.60240919979,259.751074438233,-177.167047841215,-2379.51669976902
"OPTOTRAK _ P82 _ Right _ 3",249.491279915239,-186.868115432318,-2367.61397233146,259.728342737865,-177.177088675991,-2379.51816135254
"OPTOTRAK _ P82 _ Right _ 3",249.482095889008,-186.882835006697,-2367.63117361728,259.722202831257,-177.190665808464,-2379.52941704249
"OPTOTRAK _ P82 _ Right _ 3",249.492052007275,-186.897051317004,-2367.65010710082,259.732487114588,-177.205969212076,-2379.54759325938
"OPTOTRAK _ P82 _ Right _ 3",249.518616058554,-186.909351320291,-2367.66768747871,259.756333524144,-177.221527207436,-2379.56992650382
"OPTOTRAK _ P82 _ Right _ 3",249.556797000604,-186.919055264999,-2367.68212150617,259.788917327641,-177.236307645423,-2379.59405131836
"OPTOTRAK _ P82 _ Right _ 3",249.600215362737,-186.926132640965,-2367.69286791702,259.824542673555,-177.24962536257,-2379.61795295378
"OPTOTRAK _ P82 _ Right _ 3",249.642335024473,-186.930917637395,-2367.70012774348,259.857765562354,-177.260925841782,-2379.63967504824
"OPTOTRAK _ P82 _ Right _ 3",249.677515905208,-186.933759830969,-2367.70413124114,259.884232992616,-177.269572930905,-2379.65700789799
"OPTOTRAK _ P82 _ Right _ 3",249.701639889052,-186.934779223792,-2367.70459773529,259.901058643078,-177.274768484928,-2379.66741542694
"OPTOTRAK _ P82 _ Right _ 3",249.712240258832,-186.933836961747,-2367.70064982855,259.906740705155,-177.275666942869,-2379.6683483755
"OPTOTRAK _ P82 _ Right _ 3",249.708245832274,-186.930714809417,-2367.69120666725,259.900775570459,-177.271649801349,-2379.65788567137
"OPTOTRAK _ P82 _ Right _ 3",249.689563015044,-186.925389595491,-2367.67562003495,259.883186104461,-177.262645692945,-2379.63546043168
"OPTOTRAK _ P82 _ Right _ 3",249.656726037023,-186.918254892068,-2367.65421046964,259.854168535414,-177.249358835836,-2379.60236148484
"OPTOTRAK _ P82 _ Right _ 3",249.610758048434,-186.91018860999,-2367.62845137467,259.813992039393,-177.233304374705,-2379.56177666878
"OPTOTRAK _ P82 _ Right _ 3",249.553255027529,-186.902448038347,-2367.60074986376,259.763182540979,-177.216619866573,-2379.51831219636
"OPTOTRAK _ P82 _ Right _ 3",249.486594822289,-186.896439482668,-2367.57395140293,259.702910624898,-177.20169690831,-2379.4771097844
"OPTOTRAK _ P82 _ Right _ 3",249.414124064702,-186.893432704073,-2367.5507676906,259.63541606118,-177.190727118296,-2379.4428163926
"OPTOTRAK _ P82 _ Right _ 3",249.340184524782,-186.894280969246,-2367.53329296817,259.564269868838,-177.185267079802,-2379.41868884601
"OPTOTRAK _ P82 _ Right _ 3",249.269887991726,-186.899190208325,-2367.5226849703,259.494310510726,-177.185905747253,-2379.40603818575
"OPTOTRAK _ P82 _ Right _ 3",249.208623222577,-186.90756885605,-2367.51900022549,259.431186283421,-177.192085189486,-2379.40408427694
"OPTOTRAK _ P82 _ Right _ 3",249.161369250156,-186.91798064126,-2367.52112916343,259.380569409147,-177.202093085521,-2379.41016034517
"OPTOTRAK _ P82 _ Right _ 3",249.131970187398,-186.928210296661,-2367.52678797995,259.347234143427,-177.213218180187,-2379.42013218674
"OPTOTRAK _ P82 _ Right _ 3",249.122564101261,-186.9354390479,-2367.5325739107,259.334255782505,-177.222043193499,-2379.42890400194
"OPTOTRAK _ P82 _ Right _ 3",249.133332990162,-186.936518956398,-2367.53414165811,259.342560949552,-177.224841908694,-2379.43094788008
"OPTOTRAK _ P82 _ Right _ 3",249.162656401736,-186.928329600324,-2367.5265714583,259.37095488942,-177.218038496205,-2379.42085416056
"OPTOTRAK _ P82 _ Right _ 3",249.207630861316,-186.908183433126,-2367.50494618149,259.416604151205,-177.198671168631,-2379.39390382714
"OPTOTRAK _ P82 _ Right _ 3",249.264794318019,-186.87421505408,-2367.46505043062,259.475803807514,-177.164785521119,-2379.34661290587
"OPTOTRAK _ P82 _ Right _ 3",249.330808044226,-186.825669856841,-2367.4040183301,259.544752279926,-177.115683696617,-2379.27714646596
"OPTOTRAK _ P82 _ Right _ 3",249.402838336111,-186.763030416392,-2367.32076284593,259.62004027719,-177.051990025343,-2379.18550839087
"OPTOTRAK _ P82 _ Right _ 3",249.478474571934,-186.687981694607,-2367.21612185259,259.698661737403,-176.975555250248,-2379.07349454373
"OPTOTRAK _ P82 _ Right _ 3",249.555205618142,-186.603275990682,-2367.09277917236,259.77755562652,-176.889274504901,-2378.94449534192
"OPTOTRAK _ P82 _ Right _ 3",249.629682810416,-186.51257265941,-2366.95507746784,259.852911658213,-176.796899177607,-2378.80326906934
"OPTOTRAK _ P82 _ Right _ 3",249.697127900055,-186.420286709056,-2366.80880109727,259.919616199406,-176.702870063442,-2378.65574185119
"OPTOTRAK _ P82 _ Right _ 3",249.75123612161,-186.331407284871,-2366.6608968573,259.971202102275,-176.612121032903,-2378.50876340852
"OPTOTRAK _ P82 _ Right _ 3",249.784776830414,-186.251188283012,-2366.5189994543,260.000494902995,-176.52975532311,-2378.36965911266
"OPTOTRAK _ P82 _ Right _ 3",249.790853125011,-186.184626366707,-2366.3906453701,260.000887196019,-176.460526742484,-2378.24546507081
"OPTOTRAK _ P82 _ Right _ 3",249.764530756166,-186.135747507679,-2366.28223165184,259.96793138866,-176.408164005674,-2378.14191918589
"OPTOTRAK _ P82 _ Right _ 3",249.7043896506,-186.106863383074,-2366.19799060556,259.900815326856,-176.374696441686,-2378.06248469133
"OPTOTRAK _ P82 _ Right _ 3",249.613559524189,-186.098031431104,-2366.13932307767,259.803314952948,-176.359991922973,-2378.00774264186
"OPTOTRAK _ P82 _ Right _ 3",249.499961394213,-186.106901283343,-2366.10468962078,259.683971061973,-176.361666135231,-2377.97535347865
"OPTOTRAK _ P82 _ Right _ 3",249.375702551009,-186.128991840738,-2366.0900095461,259.55543620383,-176.375399395313,-2377.96055467048
"OPTOTRAK _ P82 _ Right _ 3",249.255760331409,-186.158309891317,-2366.08934964184,259.433105921359,-176.395575488196,-2377.95699074774
"OPTOTRAK _ P82 _ Right _ 3",249.156183150851,-186.188164753621,-2366.09570198095,259.333247542851,-176.41609602119,-2377.95765821916
"OPTOTRAK _ P82 _ Right _ 3",249.092057583608,-186.212051097874,-2366.10179272298,259.27088473365,-176.431232480085,-2377.95585464312
"OPTOTRAK _ P82 _ Right _ 3",249.075499444333,-186.224504088465,-2366.10096609328,259.257727355638,-176.436413920769,-2377.94611306866
"OPTOTRAK _ P82 _ Right _ 3",249.113946981145,-186.221831425306,-2366.08813880942,259.300463950217,-176.428860329115,-2377.92506910244
"OPTOTRAK _ P82 _ Right _ 3",249.209026211545,-186.202606957399,-2366.06066354802,259.399718469444,-176.40795437849,-2377.89207603574
"OPTOTRAK _ P82 _ Right _ 3",249.356179425645,-186.167814699741,-2366.01882276346,259.549869247151,-176.375243708454,-2377.84930246901
"OPTOTRAK _ P82 _ Right _ 3",249.545108136663,-186.120586962776,-2365.96571137515,259.739746667991,-176.334028583252,-2377.80114232348
"OPTOTRAK _ P82 _ Right _ 3",249.760937300842,-186.065571767832,-2365.90645369535,259.954039406821,-176.288607527283,-2377.75301666954
"OPTOTRAK _ P82 _ Right _ 3",249.985911125807,-186.008055844242,-2365.84693548084,260.175130025627,-176.243365277951,-2377.7099013205
"OPTOTRAK _ P82 _ Right _ 3",250.201395952955,-185.953030469881,-2365.79240570043,260.385078162343,-176.201934962704,-2377.67503271224
"OPTOTRAK _ P82 _ Right _ 3",250.389972184238,-185.904405143104,-2365.74635548817,260.567537196838,-176.166637976697,-2377.64919187241
"OPTOTRAK _ P82 _ Right _ 3",250.53741706251,-185.86454277902,-2365.71000612449,260.709466294183,-176.138324745835,-2377.63079146446
"OPTOTRAK _ P82 _ Right _ 3",250.634393482517,-185.834207787468,-2365.68255221049,260.802538522526,-176.116631346348,-2377.61675277779
"OPTOTRAK _ P82 _ Right _ 3",250.677658124049,-185.812899013616,-2365.66205388627,260.844135838565,-176.10054629545,-2377.6039024797
"OPTOTRAK _ P82 _ Right _ 3",250.670596609456,-185.799421873091,-2365.64663615774,260.837787424076,-176.089079727929,-2377.59041371682
"OPTOTRAK _ P82 _ Right _ 3",250.622921610073,-185.792486744966,-2365.63553655179,260.792897999618,-176.081793156694,-2377.57676742869
"OPTOTRAK _ P82 _ Right _ 3",250.549468488117,-185.791132273117,-2365.6296041613,260.723673112223,-176.079007708181,-2377.56587135967
"OPTOTRAK _ P82 _ Right _ 3",250.468186359449,-185.79485330021,-2365.63106556234,260.647287113608,-176.08163285026,-2377.562277315
"OPTOTRAK _ P82 _ Right _ 3",250.397598303608,-185.803426448363,-2365.64263954411,260.581514984906,-176.090688644724,-2377.57074035622
"OPTOTRAK _ P82 _ Right _ 3",250.354134215635,-185.81653104092,-2365.66630190955,260.54219781026,-176.106689603738,-2377.59455940016
"OPTOTRAK _ P82 _ Right _ 3",250.349791764509,-185.833329503139,-2365.70211388022,260.540984910978,-176.129098893883,-2377.63419504864
"OPTOTRAK _ P82 _ Right _ 3",250.390544561234,-185.852182848325,-2365.74751512526,260.583769003897,-176.156043086745,-2377.68658972933
"OPTOTRAK _ P82 _ Right _ 3",250.475784373441,-185.870632101012,-2365.79735507655,260.670099812976,-176.184404769486,-2377.74543638915
"OPTOTRAK _ P82 _ Right _ 3",250.598864213564,-185.88569257905,-2365.84472704559,260.793649910549,-176.21030126285,-2377.80238156907
"OPTOTRAK _ P82 _ Right _ 3",250.748558240205,-185.894410697777,-2365.88243088243,260.943574353549,-176.229843361809,-2377.84886777313
"OPTOTRAK _ P82 _ Right _ 3",250.911069523093,-185.894544248442,-2365.90468312616,261.106431580779,-176.239982009334,-2377.87811461158
"OPTOTRAK _ P82 _ Right _ 3",251.072167087364,-185.885167777385,-2365.90858160154,261.268270428942,-176.239216978153,-2377.88668940409
"OPTOTRAK _ P82 _ Right _ 3",251.219106001499,-185.867001069949,-2365.89486568294,261.416532810605,-176.227968964275,-2377.87524002889
"OPTOTRAK _ P82 _ Right _ 3",251.34210498055,-185.842328249095,-2365.86770763384,261.541524493659,-176.208499473078,-2377.84820368779
"OPTOTRAK _ P82 _ Right _ 3",251.435259305746,-185.814502764572,-2365.83357521758,261.637315623586,-176.184382843314,-2377.81258840981
"OPTOTRAK _ P82 _ Right _ 3",251.496837202944,-185.787172072023,-2365.79951464473,261.702023066209,-176.159662581746,-2377.77617903426
"OPTOTRAK _ P82 _ Right _ 3",251.528970405163,-185.763450003951,-2365.77139507424,261.737503259746,-176.137922421416,-2377.74568028208
"OPTOTRAK _ P82 _ Right _ 3",251.536830538519,-185.745277636659,-2365.75265026029,261.748562972117,-176.121531817746,-2377.72531605217
"OPTOTRAK _ P82 _ Right _ 3",251.527473345905,-185.733138945547,-2365.74384592091,261.741870576133,-176.111265063579,-2377.71623487594
"OPTOTRAK _ P82 _ Right _ 3",251.508589497356,-185.726166788965,-2365.74307936147,261.724787015259,-176.106362948238,-2377.71678334842
"OPTOTRAK _ P82 _ Right _ 3",251.487385814936,-185.722548718374,-2365.74693115587,261.704308478652,-176.10496359514,-2377.7234267656
"OPTOTRAK _ P82 _ Right _ 3",251.469740286834,-185.720077345678,-2365.75156961887,261.686242407367,-176.104734494329,-2377.73193882944
"OPTOTRAK _ P82 _ Right _ 3",251.459675934914,-185.716697696821,-2365.75367939643,261.674667641643,-176.103516213143,-2377.73849157138
"OPTOTRAK _ P82 _ Right _ 3",251.459129990168,-185.710949559503,-2365.75105342999,261.671679150806,-176.099826603513,-2377.74040689685
"OPTOTRAK _ P82 _ Right _ 3",251.467970252945,-185.702246839435,-2365.74283866714,261.677386081396,-176.093140672449,-2377.73649578944
"OPTOTRAK _ P82 _ Right _ 3",251.48421847818,-185.69096429943,-2365.72950283116,261.690120575982,-176.083924374413,-2377.72703346155
"OPTOTRAK _ P82 _ Right _ 3",251.504463511749,-185.6783217046,-2365.71259598777,261.706827197384,-176.073443732312,-2377.71346605137
"OPTOTRAK _ P82 _ Right _ 3",251.524461017431,-185.666079735772,-2365.6943568576,261.723622024469,-176.063398478971,-2377.69793898722
"OPTOTRAK _ P82 _ Right _ 3",251.539894422033,-185.656100535364,-2365.67720847523,261.73650327389,-176.055456413603,-2377.6827278592
"OPTOTRAK _ P82 _ Right _ 3",251.547207335736,-185.649871341193,-2365.66321649945,261.742142748915,-176.050793783515,-2377.66966655349
"OPTOTRAK _ P82 _ Right _ 3",251.544345896195,-185.648115796512,-2365.65361512263,261.738611347718,-176.049761475746,-2377.65968839315
