"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ P74 _ Right _ 2",165.638800415937,-298.29601650324,-2443.39743000085,229.0832598448,-271.087601456562,-2479.50753573667
"OPTOTRAK _ P74 _ Right _ 2",165.610062385225,-298.298044295711,-2443.40025591584,229.047984251573,-271.107012118199,-2479.51803154062
"OPTOTRAK _ P74 _ Right _ 2",165.580185280794,-298.312100936244,-2443.41435620995,228.996977201002,-271.138177192572,-2479.54235195852
"OPTOTRAK _ P74 _ Right _ 2",165.553521455579,-298.337447575619,-2443.4388945845,228.930011629645,-271.176849457021,-2479.57845094526
"OPTOTRAK _ P74 _ Right _ 2",165.53463189481,-298.369615683768,-2443.46955352862,228.848786350905,-271.215059739515,-2479.62013232679
"OPTOTRAK _ P74 _ Right _ 2",165.527436421462,-298.400682704568,-2443.49882583008,228.756917943842,-271.242165010527,-2479.65761153701
"OPTOTRAK _ P74 _ Right _ 2",165.534405084422,-298.420689624307,-2443.51735803062,228.659439157709,-271.2468776204,-2479.67928609483
"OPTOTRAK _ P74 _ Right _ 2",165.555954490857,-298.419945148905,-2443.51609142698,228.561838826299,-271.219850827873,-2479.67437728186
"OPTOTRAK _ P74 _ Right _ 2",165.590195666237,-298.391645456146,-2443.48866411732,228.46891511637,-271.156203104373,-2479.63577124237
"OPTOTRAK _ P74 _ Right _ 2",165.633128045061,-298.334107793614,-2443.4334391056,228.383860239961,-271.05734712547,-2479.56227271658
"OPTOTRAK _ P74 _ Right _ 2",165.679279851423,-298.251986066972,-2443.35460870039,228.307929334583,-270.931628125602,-2479.45963158249
"OPTOTRAK _ P74 _ Right _ 2",165.722679201465,-298.156060915807,-2443.26203000084,228.240775708468,-270.793521044769,-2479.3400408663
"OPTOTRAK _ P74 _ Right _ 2",165.757943139003,-298.061517333015,-2443.16971166491,228.181195594386,-270.661431323446,-2479.22019622105
"OPTOTRAK _ P74 _ Right _ 2",165.781231976482,-297.984986266839,-2443.09317267529,228.127821049824,-270.554442076155,-2479.11832367101
"OPTOTRAK _ P74 _ Right _ 2",165.790851649516,-297.940967249794,-2443.04619676057,228.079385228974,-270.488608530679,-2479.05076326147
"OPTOTRAK _ P74 _ Right _ 2",165.78738914711,-297.938473151883,-2443.0377296043,228.034542382739,-270.473566209716,-2479.02874384228
"OPTOTRAK _ P74 _ Right _ 2",165.773403565441,-297.978750131152,-2443.06970547124,227.991631350641,-270.510228788542,-2479.05593090595
"OPTOTRAK _ P74 _ Right _ 2",165.75281704491,-298.054689521446,-2443.1363932103,227.948929015204,-270.590168287369,-2479.12720748895
"OPTOTRAK _ P74 _ Right _ 2",165.73020716328,-298.15212177491,-2443.22546263717,227.90570559828,-270.696922129949,-2479.22897527051
"OPTOTRAK _ P74 _ Right _ 2",165.7101808239,-298.252695562987,-2443.3205141996,227.863891943167,-270.80904076387,-2479.34104029545
"OPTOTRAK _ P74 _ Right _ 2",165.69693298739,-298.337649580728,-2443.40444252517,227.82968527569,-270.904270668011,-2479.43987406569
"OPTOTRAK _ P74 _ Right _ 2",165.69399879763,-298.391597947433,-2443.46283971252,227.814202962396,-270.963953526599,-2479.50274090852
"OPTOTRAK _ P74 _ Right _ 2",165.704131948028,-298.405500313385,-2443.48670634339,227.83246499391,-270.976617610012,-2479.51192705647
"OPTOTRAK _ P74 _ Right _ 2",165.729221071137,-298.378208496173,-2443.4739417816,227.900537048496,-270.93992737459,-2479.45819497725
"OPTOTRAK _ P74 _ Right _ 2",165.770203066408,-298.316284154259,-2443.42933713898,228.031433763613,-270.860620427685,-2479.34269245052
"OPTOTRAK _ P74 _ Right _ 2",165.827014108494,-298.232127985972,-2443.36307830972,228.231043192032,-270.752626659105,-2479.17686761739
"OPTOTRAK _ P74 _ Right _ 2",165.898664254341,-298.140843437111,-2443.28810317711,228.49552492883,-270.633998596418,-2478.98039514218
"OPTOTRAK _ P74 _ Right _ 2",165.983472595609,-298.056619888423,-2443.2169943043,228.811172764778,-270.523440805041,-2478.77757942695
"OPTOTRAK _ P74 _ Right _ 2",166.079375117722,-297.989618577916,-2443.15927299535,229.156788775186,-270.437134324503,-2478.59304308123
