"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ P78 _ Left _ 1",-192.315186303349,-63.3547989678225,-2535.86503063718,-158.854724437848,-40.6152557930193,-2554.59805448945
"OPTOTRAK _ P78 _ Left _ 1",-192.344056726663,-63.4309705544848,-2535.90643115032,-158.896446522779,-40.7099882015786,-2554.62910553885
"OPTOTRAK _ P78 _ Left _ 1",-192.392040906924,-63.5586629174618,-2535.96997505591,-158.95777072151,-40.8673448911625,-2554.67006683414
"OPTOTRAK _ P78 _ Left _ 1",-192.461013814612,-63.7440114070676,-2536.05006198417,-159.037279056754,-41.0924009003601,-2554.71977704582
"OPTOTRAK _ P78 _ Left _ 1",-192.55003531269,-63.9862730566583,-2536.13523416861,-159.130636524058,-41.3815729119216,-2554.7764398204
"OPTOTRAK _ P78 _ Left _ 1",-192.65481130239,-64.2762580541962,-2536.20965720281,-159.231078389264,-41.7216681818341,-2554.83800681571
"OPTOTRAK _ P78 _ Left _ 1",-192.767797208934,-64.596156956544,-2536.25634942781,-159.330417211998,-42.090668849405,-2554.90237849186
"OPTOTRAK _ P78 _ Left _ 1",-192.879047191426,-64.921098309564,-2536.26151208791,-159.42029187977,-42.4602064266981,-2554.9672911419
"OPTOTRAK _ P78 _ Left _ 1",-192.977682456495,-65.2223369004151,-2536.21871793715,-159.493326774553,-42.7992621087963,-2555.02996032961
"OPTOTRAK _ P78 _ Left _ 1",-193.053644883189,-65.4714913613652,-2536.13151903202,-159.543949967704,-43.0783587581197,-2555.08675391284
"OPTOTRAK _ P78 _ Left _ 1",-193.099309397925,-65.6449083253714,-2536.01343020916,-159.568779551537,-43.2734475337151,-2555.13324605279
"OPTOTRAK _ P78 _ Left _ 1",-193.11058367228,-65.7271721012336,-2535.88514761621,-159.566645717471,-43.368822215963,-2555.1648663987
"OPTOTRAK _ P78 _ Left _ 1",-193.087304317289,-65.7130440535203,-2535.76989636404,-159.538410878531,-43.3586721550643,-2555.17802680739
"OPTOTRAK _ P78 _ Left _ 1",-193.032973473529,-65.6076035828612,-2535.68846776222,-159.486752892327,-43.2472255164042,-2555.17126812778
"OPTOTRAK _ P78 _ Left _ 1",-192.954053180277,-65.4248430419004,-2535.65545704625,-159.415998415344,-43.0477074989559,-2555.14588592369
"OPTOTRAK _ P78 _ Left _ 1",-192.859051858827,-65.1852178373951,-2535.67750656666,-159.331984135183,-42.7804382899592,-2555.10576973892
"OPTOTRAK _ P78 _ Left _ 1",-192.757524518576,-64.9126407080996,-2535.75346661785,-159.241846051018,-42.4703459234689,-2555.05662771321
"OPTOTRAK _ P78 _ Left _ 1",-192.659011956791,-64.631318930295,-2535.8758376097,-159.153626201467,-42.1441152992676,-2555.00503114735
"OPTOTRAK _ P78 _ Left _ 1",-192.571977838937,-64.3628397706985,-2536.03283421406,-159.075634961449,-41.8272515997124,-2554.95763868322
"OPTOTRAK _ P78 _ Left _ 1",-192.502916289193,-64.1239696462319,-2536.21067939683,-159.015589848245,-41.5414532702225,-2554.92068391179
"OPTOTRAK _ P78 _ Left _ 1",-192.45584096412,-63.9255503500064,-2536.39593852365,-158.979646029559,-41.3027027326117,-2554.89960455436
"OPTOTRAK _ P78 _ Left _ 1",-192.432247446325,-63.7725636444731,-2536.57767105666,-158.971513485621,-41.1203081330172,-2554.89870113178
"OPTOTRAK _ P78 _ Left _ 1",-192.431443106592,-63.6650468634737,-2536.74900129317,-158.991883321214,-40.9968626792257,-2554.92086122924
"OPTOTRAK _ P78 _ Left _ 1",-192.451015567203,-63.5993281598362,-2536.90763790125,-159.038328180316,-40.9288979634916,-2554.96749588212
"OPTOTRAK _ P78 _ Left _ 1",-192.487247636661,-63.5691293020884,-2537.05511976678,-159.105708913788,-40.9079721278365,-2555.03880632423
"OPTOTRAK _ P78 _ Left _ 1",-192.535439267611,-63.5663655879509,-2537.19509948924,-159.186977277163,-40.9220048056823,-2555.13435213332
"OPTOTRAK _ P78 _ Left _ 1",-192.590239877934,-63.5817553370393,-2537.33145169912,-159.274188098646,-40.9567578019442,-2555.25370309704
"OPTOTRAK _ P78 _ Left _ 1",-192.64612231081,-63.6054779259293,-2537.46702621762,-159.359547826358,-40.9974166283536,-2555.39682225261
"OPTOTRAK _ P78 _ Left _ 1",-192.698038647132,-63.6280680786178,-2537.60340722824,-159.436390132842,-41.0302602556775,-2555.56384383374
"OPTOTRAK _ P78 _ Left _ 1",-192.742172430332,-63.6415886028983,-2537.7414203365,-159.500020864516,-41.0444166614957,-2555.75411606267
"OPTOTRAK _ P78 _ Left _ 1",-192.776625367762,-63.6409666025341,-2537.88175194352,-159.548376846494,-41.0336466505353,-2555.9647076076
