"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ P83 _ Right _ 3",169.812440893048,-181.153340211492,-2425.80314419557,224.234983829203,-122.099663608357,-2451.26395118319
"OPTOTRAK _ P83 _ Right _ 3",169.754823706385,-181.160554501162,-2425.80185360863,224.162547836789,-122.099405340536,-2451.2668833173
"OPTOTRAK _ P83 _ Right _ 3",169.687409283265,-181.150487806107,-2425.77886571193,224.072424050718,-122.083682615886,-2451.25158127825
"OPTOTRAK _ P83 _ Right _ 3",169.612252778189,-181.117562045036,-2425.72691285958,223.967052390738,-122.047617005461,-2451.21147688356
"OPTOTRAK _ P83 _ Right _ 3",169.531322707501,-181.059038853248,-2425.64183220554,223.849937644193,-121.988596234603,-2451.14266748488
"OPTOTRAK _ P83 _ Right _ 3",169.446543248257,-180.976002218445,-2425.52415574005,223.725440209011,-121.907244381418,-2451.045261307
"OPTOTRAK _ P83 _ Right _ 3",169.360222491015,-180.873578581521,-2425.3798546605,223.598702972181,-121.807803712745,-2450.92394849144
"OPTOTRAK _ P83 _ Right _ 3",169.275570238377,-180.760311413717,-2425.21987825167,223.475561555577,-121.697784974102,-2450.78756241466
"OPTOTRAK _ P83 _ Right _ 3",169.196901289481,-180.646810858697,-2425.05844275062,223.362217860081,-121.58692434423,-2450.64768753323
"OPTOTRAK _ P83 _ Right _ 3",169.129242010054,-180.543966971691,-2424.91041094065,223.264544448984,-121.485654495183,-2450.5166468067
"OPTOTRAK _ P83 _ Right _ 3",169.077347183472,-180.461112353595,-2424.78841286011,223.187093343901,-121.403407083813,-2450.40536153917
"OPTOTRAK _ P83 _ Right _ 3",169.044441430039,-180.404519270372,-2424.70046123245,223.132103685059,-121.347087849483,-2450.32157313461
"OPTOTRAK _ P83 _ Right _ 3",169.031172797953,-180.376519033272,-2424.64866604736,223.09891156251,-121.320009363205,-2450.26877602068
"OPTOTRAK _ P83 _ Right _ 3",169.035228723262,-180.375372936812,-2424.62931266582,223.084082148193,-121.321460980941,-2450.24600461774
"OPTOTRAK _ P83 _ Right _ 3",169.051836888867,-180.395855104484,-2424.63417199795,223.082330461818,-121.346971133037,-2450.24841311523
"OPTOTRAK _ P83 _ Right _ 3",169.075047440379,-180.430371976193,-2424.65260163618,223.087989457802,-121.389189955058,-2450.26842889078
"OPTOTRAK _ P83 _ Right _ 3",169.099397017003,-180.470365216294,-2424.67385942325,223.096567150371,-121.439204633554,-2450.29717686641
"OPTOTRAK _ P83 _ Right _ 3",169.121413388527,-180.507726068685,-2424.68909092762,223.105901297228,-121.488020620572,-2450.32587653897
"OPTOTRAK _ P83 _ Right _ 3",169.140492530168,-180.535975674878,-2424.69261479031,223.11657378299,-121.527921416757,-2450.34698731832
"OPTOTRAK _ P83 _ Right _ 3",169.158918472515,-180.55102277922,-2424.6823429606,223.13150792724,-121.5534608521,-2450.35497636364
"OPTOTRAK _ P83 _ Right _ 3",169.181069742201,-180.551389750845,-2424.65937668188,223.15491843829,-121.561931533762,-2450.34666890174
"OPTOTRAK _ P83 _ Right _ 3",169.212049961626,-180.537896766885,-2424.62697461816,223.190916526078,-121.553270741973,-2450.32120020614
"OPTOTRAK _ P83 _ Right _ 3",169.256066871471,-180.512908367247,-2424.58918359748,223.242075754599,-121.529486183881,-2450.27962736054
"OPTOTRAK _ P83 _ Right _ 3",169.314900725982,-180.479359965226,-2424.5494649546,223.308203978882,-121.493785258654,-2450.22429902282
"OPTOTRAK _ P83 _ Right _ 3",169.386781332596,-180.439854440607,-2424.50964828722,223.38552044188,-121.449651410577,-2450.15813430319
"OPTOTRAK _ P83 _ Right _ 3",169.465931249618,-180.39610417438,-2424.46948374699,223.466417302426,-121.400108706415,-2450.08399887713
"OPTOTRAK _ P83 _ Right _ 3",169.542920465043,-180.348877472444,-2424.42692050444,223.539939826749,-121.347341341063,-2450.00433880204
"OPTOTRAK _ P83 _ Right _ 3",169.605823686894,-180.298424526392,-2424.37902346318,223.593007371906,-121.292708945517,-2449.92113175831
"OPTOTRAK _ P83 _ Right _ 3",169.642005047437,-180.245172887429,-2424.32321838962,223.612240108085,-121.237071432571,-2449.83609421309
"OPTOTRAK _ P83 _ Right _ 3",169.640214275165,-180.190373256109,-2424.25842732388,223.586109067321,-121.181259695077,-2449.75100861311
"OPTOTRAK _ P83 _ Right _ 3",169.592594562971,-180.136406233862,-2424.18570129111,223.507020707353,-121.126519654402,-2449.66802983797
"OPTOTRAK _ P83 _ Right _ 3",169.496193696516,-180.086628229886,-2424.10817080147,223.372894131413,-121.074796200879,-2449.58986304229
"OPTOTRAK _ P83 _ Right _ 3",169.353640749624,-180.044846939997,-2424.03040494921,223.187820989013,-121.028777464059,-2449.51973881996
"OPTOTRAK _ P83 _ Right _ 3",169.172794622003,-180.014648532699,-2423.95745175272,222.961554411775,-120.991675690627,-2449.46115090951
"OPTOTRAK _ P83 _ Right _ 3",168.965377906718,-179.998794132441,-2423.89386072644,222.707851815685,-120.966782991016,-2449.41739080716
"OPTOTRAK _ P83 _ Right _ 3",168.744858937639,-179.998807760046,-2423.84291205909,222.442029026944,-120.956900422472,-2449.39099940816
"OPTOTRAK _ P83 _ Right _ 3",168.52407698836,-180.014777721388,-2423.80618059021,222.178351204056,-120.963771135235,-2449.38330205428
