"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ P70 _ Right _ 2",185.173261512199,-177.048107029626,-2415.71947382782,191.460159934609,-166.423061158247,-2422.9742101228
"OPTOTRAK _ P70 _ Right _ 2",185.170458164554,-177.144975663223,-2415.80182104207,191.463188166488,-166.51844175499,-2423.05568197655
"OPTOTRAK _ P70 _ Right _ 2",185.200895248496,-177.230345119886,-2415.89201727961,191.501153112148,-166.603724449083,-2423.14195651298
"OPTOTRAK _ P70 _ Right _ 2",185.266850378828,-177.288138961427,-2415.97804275787,191.575566489566,-166.6634409175,-2423.2209280143
"OPTOTRAK _ P70 _ Right _ 2",185.361713242479,-177.306088450987,-2416.04672060528,191.678809275097,-166.685535267765,-2423.2800193542
"OPTOTRAK _ P70 _ Right _ 2",185.469781379194,-177.279106082988,-2416.08639399824,191.794178291059,-166.66453435851,-2423.30880513516
"OPTOTRAK _ P70 _ Right _ 2",185.568750097657,-177.211026427605,-2416.08954806704,191.898634958228,-166.603238603249,-2423.30139779861
"OPTOTRAK _ P70 _ Right _ 2",185.634532262099,-177.114178101788,-2416.05476056123,191.967793618542,-166.512464491344,-2423.25804054039
"OPTOTRAK _ P70 _ Right _ 2",185.647230865804,-177.006895936017,-2415.98750174409,191.981912771927,-166.408938085382,-2423.18552782257
"OPTOTRAK _ P70 _ Right _ 2",185.596631875801,-176.909641109154,-2415.89954283439,191.931264977852,-166.311908362025,-2423.09631685485
"OPTOTRAK _ P70 _ Right _ 2",185.485641870847,-176.840716370543,-2415.80703026914,191.819376672959,-166.23930838257,-2423.00645876167
"OPTOTRAK _ P70 _ Right _ 2",185.330628140414,-176.812595161006,-2415.72758204146,191.663182216242,-166.204322064792,-2422.93272839831
"OPTOTRAK _ P70 _ Right _ 2",185.158444783089,-176.829664414991,-2415.67699134016,191.489939845702,-166.213057349151,-2422.88952053085
"OPTOTRAK _ P70 _ Right _ 2",185.00080421019,-176.887799135448,-2415.66622253943,191.331586368538,-166.263750519758,-2422.88615751025
"OPTOTRAK _ P70 _ Right _ 2",184.887348488885,-176.975751515173,-2415.69933339071,191.217859046236,-166.347597361764,-2422.92518861085
"OPTOTRAK _ P70 _ Right _ 2",184.839113364576,-177.07795006094,-2415.77277182081,191.169833618644,-166.450975753012,-2423.00205769028
"OPTOTRAK _ P70 _ Right _ 2",184.863974589879,-177.178033894509,-2415.87621297301,191.195434269596,-166.558535774973,-2423.10621248191
"OPTOTRAK _ P70 _ Right _ 2",184.955151895761,-177.262326716516,-2415.99476892135,191.287976815632,-166.656446099917,-2423.22339406992
"OPTOTRAK _ P70 _ Right _ 2",185.093061853157,-177.322496374298,-2416.11208469767,191.428030448416,-166.735066013115,-2423.33856919442
"OPTOTRAK _ P70 _ Right _ 2",185.249973590044,-177.356847869586,-2416.21361445078,191.588039768811,-166.790487553788,-2423.43883487826
"OPTOTRAK _ P70 _ Right _ 2",185.396262334944,-177.370027049998,-2416.28932984628,191.738488975889,-166.824704847962,-2423.51566853059
"OPTOTRAK _ P70 _ Right _ 2",185.50674646009,-177.37129219452,-2416.33527869248,191.854104579118,-166.844500785267,-2423.56608868949
"OPTOTRAK _ P70 _ Right _ 2",185.56568818807,-177.371837031264,-2416.35373206719,191.918725565973,-166.859394950648,-2423.59256948557
"OPTOTRAK _ P70 _ Right _ 2",185.569465541226,-177.381831930756,-2416.35201525234,191.927917593716,-166.879134683505,-2423.60184247265
"OPTOTRAK _ P70 _ Right _ 2",185.526529352378,-177.407854520587,-2416.34039864937,191.889000412188,-166.91124130936,-2423.60294660085
"OPTOTRAK _ P70 _ Right _ 2",185.454872306996,-177.451233216069,-2416.32957664657,191.818734927622,-166.959066625122,-2423.60499656603
