"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ P78 _ Left _ 4",-187.011346991886,-24.2443561632824,-2547.2909368502,-147.962583030129,1.39231590919321,-2590.03964068196
"OPTOTRAK _ P78 _ Left _ 4",-187.028179503739,-24.2567412653802,-2547.33642588751,-147.959567947559,1.40342962966642,-2590.00993590888
"OPTOTRAK _ P78 _ Left _ 4",-187.056569880507,-24.2834676443923,-2547.38584135404,-147.952133099567,1.40828724995754,-2589.95830330608
"OPTOTRAK _ P78 _ Left _ 4",-187.095029381173,-24.3249858637772,-2547.43429681307,-147.938519763382,1.40535991521386,-2589.88204317327
"OPTOTRAK _ P78 _ Left _ 4",-187.139760786265,-24.3791074065073,-2547.47713056127,-147.916924192274,1.39514779941827,-2589.78071030981
"OPTOTRAK _ P78 _ Left _ 4",-187.185230428348,-24.4410713613064,-2547.51054263243,-147.885697388883,1.3804915001597,-2589.65622969515
"OPTOTRAK _ P78 _ Left _ 4",-187.225153284554,-24.5040644035474,-2547.53157150469,-147.843650587835,1.36626895810794,-2589.51259612939
"OPTOTRAK _ P78 _ Left _ 4",-187.253574536451,-24.5600191104287,-2547.53755337395,-147.790436422264,1.35853157149693,-2589.35523352374
"OPTOTRAK _ P78 _ Left _ 4",-187.265783770135,-24.6005615169848,-2547.5255857388,-147.726892594119,1.36331688336033,-2589.19015264667
"OPTOTRAK _ P78 _ Left _ 4",-187.258943273192,-24.6180614410617,-2547.49256706171,-147.655196452415,1.38547314605446,-2589.02310566218
"OPTOTRAK _ P78 _ Left _ 4",-187.232425318899,-24.6067453783268,-2547.43608910278,-147.578729409995,1.427801933009,-2588.8589598341
"OPTOTRAK _ P78 _ Left _ 4",-187.187889849324,-24.5637535692523,-2547.35599355702,-147.501665872027,1.4906700781824,-2588.70144534473
"OPTOTRAK _ P78 _ Left _ 4",-187.12912673874,-24.4899443995533,-2547.2559891615,-147.428406635223,1.57203235338821,-2588.55326703837
"OPTOTRAK _ P78 _ Left _ 4",-187.061676931569,-24.3902442458827,-2547.14453969563,-147.363007783662,1.66766497106955,-2588.41639430981
"OPTOTRAK _ P78 _ Left _ 4",-186.992245769327,-24.2734070411186,-2547.03437909757,-147.308712723954,1.77143059097463,-2588.2922849373
"OPTOTRAK _ P78 _ Left _ 4",-186.927925969803,-24.1511396204505,-2546.9404588497,-147.26763203589,1.87555540808,-2588.18190802575
"OPTOTRAK _ P78 _ Left _ 4",-186.875260615259,-24.036640799677,-2546.87671248014,-147.240582059671,1.97107094929875,-2588.0856229641
"OPTOTRAK _ P78 _ Left _ 4",-186.839213359448,-23.9427019597816,-2546.85250795542,-147.227086862936,2.04863164477881,-2588.00309691752
"OPTOTRAK _ P78 _ Left _ 4",-186.822185153274,-23.8796318721361,-2546.8698888052,-147.225541022844,2.09982038236684,-2587.93342384696
"OPTOTRAK _ P78 _ Left _ 4",-186.823304857916,-23.8533745179674,-2546.92259567817,-147.233513030217,2.11882993436786,-2587.87548597696
"OPTOTRAK _ P78 _ Left _ 4",-186.838267295705,-23.8642367156434,-2546.99738896374,-147.248151782869,2.10413739345676,-2587.82846593225
"OPTOTRAK _ P78 _ Left _ 4",-186.859932475731,-23.9065897415441,-2547.07745209227,-147.266645958243,2.0595943205913,-2587.79232432923
"OPTOTRAK _ P78 _ Left _ 4",-186.879711341431,-23.9697383624211,-2547.14689423833,-147.286670289501,1.99437295232635,-2587.76801099877
"OPTOTRAK _ P78 _ Left _ 4",-186.88949508913,-24.0398808070288,-2547.19491744287,-147.306731480441,1.92149893497834,-2587.75720024671
"OPTOTRAK _ P78 _ Left _ 4",-186.883648581655,-24.1027871693232,-2547.21829979235,-147.326314547498,1.85518153530168,-2587.76147629277
"OPTOTRAK _ P78 _ Left _ 4",-186.860494309201,-24.1466046031235,-2547.22145487813,-147.345750841025,1.80763170974357,-2587.78114624026
"OPTOTRAK _ P78 _ Left _ 4",-186.822798821683,-24.1641210218153,-2547.21417087309,-147.365793670895,1.78633058636097,-2587.81411629895
"OPTOTRAK _ P78 _ Left _ 4",-186.777013620977,-24.1539034089242,-2547.20784823276,-147.38698530832,1.7926320918162,-2587.85534630277
"OPTOTRAK _ P78 _ Left _ 4",-186.731387812094,-24.1199931970388,-2547.21144121571,-147.40899631845,1.82213514701838,-2587.89719400523
"OPTOTRAK _ P78 _ Left _ 4",-186.69349264256,-24.0702762819309,-2547.22834016134,-147.430166567791,1.86660725838925,-2587.93058213343
"OPTOTRAK _ P78 _ Left _ 4",-186.667992776082,-24.0140943969495,-2547.25512276155,-147.447437653336,1.91669103223682,-2587.94659702513
"OPTOTRAK _ P78 _ Left _ 4",-186.655443814145,-23.959878238262,-2547.28249029032,-147.456741473353,1.96444507899171,-2587.93800260703
"OPTOTRAK _ P78 _ Left _ 4",-186.652456513523,-23.9134422490136,-2547.29796179289,-147.453751218096,2.00500139584943,-2587.90023057496
"OPTOTRAK _ P78 _ Left _ 4",-186.652986255808,-23.8772196451716,-2547.28932788611,-147.434776822582,2.03707625289722,-2587.83163106936
"OPTOTRAK _ P78 _ Left _ 4",-186.650117349309,-23.8503811228339,-2547.24771049925,-147.397542355638,2.06249511931383,-2587.73305348728
"OPTOTRAK _ P78 _ Left _ 4",-186.637689694016,-23.8296154880389,-2547.16935500483,-147.341630203673,2.08511381765279,-2587.60704785444
"OPTOTRAK _ P78 _ Left _ 4",-186.611376748578,-23.8103231216175,-2547.05580592708,-147.268494817553,2.10951552197695,-2587.45702609272
"OPTOTRAK _ P78 _ Left _ 4",-186.569142859944,-23.7879734824163,-2546.91264621315,-147.181085653114,2.13973754039144,-2587.28660269495
"OPTOTRAK _ P78 _ Left _ 4",-186.511207940346,-23.7593528596996,-2546.74736668037,-147.083218705811,2.17817638915074,-2587.09916334175
"OPTOTRAK _ P78 _ Left _ 4",-186.439694102609,-23.7234161213148,-2546.56712937887,-146.978872883725,2.22481925519522,-2586.89762431647
"OPTOTRAK _ P78 _ Left _ 4",-186.358086427615,-23.6815126088928,-2546.37716449642,-146.871573438379,2.27701306741165,-2586.68438129567
"OPTOTRAK _ P78 _ Left _ 4",-186.270587814571,-23.6368961934818,-2546.18026516141,-146.763985867691,2.3299701460236,-2586.46150446919
"OPTOTRAK _ P78 _ Left _ 4",-186.181436543701,-23.5936311071686,-2545.9773822724,-146.657792944418,2.37801722899067,-2586.23119246779
"OPTOTRAK _ P78 _ Left _ 4",-186.094289022227,-23.5552178801498,-2545.76888138761,-146.553861995962,2.41627624216,-2585.99634689638
"OPTOTRAK _ P78 _ Left _ 4",-186.011804542104,-23.5233968305852,-2545.55584712155,-146.452633849135,2.44221672510193,-2585.76100851127
"OPTOTRAK _ P78 _ Left _ 4",-185.935546478847,-23.4975463183662,-2545.34098588655,-146.354604947691,2.45652775553089,-2585.53044268603
"OPTOTRAK _ P78 _ Left _ 4",-185.866219040767,-23.4748666993454,-2545.12901997057,-146.260757475372,2.46304281551082,-2585.31086851436
"OPTOTRAK _ P78 _ Left _ 4",-185.804130900147,-23.4512314500971,-2544.9267109691,-146.172820053697,2.46784561257292,-2585.1090312924
"OPTOTRAK _ P78 _ Left _ 4",-185.749684134722,-23.4223511401082,-2544.74265180488,-146.093291093627,2.47795823303644,-2584.93184471712
"OPTOTRAK _ P78 _ Left _ 4",-185.703682077848,-23.3848424449059,-2544.58681050134,-146.025207695013,2.50004401513518,-2584.78615056496
