"fileName","thumb_y","thumb_x","thumb_z","finger_y","finger_x","finger_z"
"OPTOTRAK _ P82 _ Right _ 4",268.553055509355,-197.848263697663,-2386.76533823512,280.334260247473,-186.513672360593,-2396.1216472308
"OPTOTRAK _ P82 _ Right _ 4",268.545248716967,-197.860865888889,-2386.77857216127,280.319530283631,-186.530238900557,-2396.14329261006
"OPTOTRAK _ P82 _ Right _ 4",268.538527827052,-197.875528320305,-2386.79294167041,280.306070564268,-186.548242492058,-2396.16486480642
"OPTOTRAK _ P82 _ Right _ 4",268.533836849969,-197.891499153077,-2386.80739184799,280.295431710414,-186.566486592138,-2396.1845558172
"OPTOTRAK _ P82 _ Right _ 4",268.531384472747,-197.90818698234,-2386.82126825898,280.288221102085,-186.58410986222,-2396.20142667693
"OPTOTRAK _ P82 _ Right _ 4",268.530302947883,-197.925323661655,-2386.83452119277,280.283705738428,-186.600778843597,-2396.21566575341
"OPTOTRAK _ P82 _ Right _ 4",268.528593759024,-197.942929177103,-2386.84759974969,280.2797921881,-186.616629872171,-2396.22838554552
"OPTOTRAK _ P82 _ Right _ 4",268.52344486945,-197.961085908989,-2386.86107187663,280.273440069643,-186.631988374608,-2396.24103431858
"OPTOTRAK _ P82 _ Right _ 4",268.511856654266,-197.979648614428,-2386.87517401652,280.261391229111,-186.647017045557,-2396.25470266046
"OPTOTRAK _ P82 _ Right _ 4",268.491375810833,-197.998063836261,-2386.88953927547,280.240963501248,-186.661484827869,-2396.26965658824
"OPTOTRAK _ P82 _ Right _ 4",268.460695845392,-198.015416350568,-2386.90325321644,280.210654326716,-186.674778735377,-2396.28529482959
"OPTOTRAK _ P82 _ Right _ 4",268.419967320646,-198.030698936335,-2386.9152163675,280.170427978044,-186.686146216347,-2396.30050151453
"OPTOTRAK _ P82 _ Right _ 4",268.370810754793,-198.043185381362,-2386.9246457359,280.121723965456,-186.695038993619,-2396.31418553601
"OPTOTRAK _ P82 _ Right _ 4",268.316138390428,-198.052729900735,-2386.93147872075,280.067311137512,-186.701388307989,-2396.32574343192
"OPTOTRAK _ P82 _ Right _ 4",268.259904333004,-198.059841923928,-2386.93647358595,280.011085289073,-186.70568283877,-2396.33524786466
"OPTOTRAK _ P82 _ Right _ 4",268.206830238658,-198.065485454258,-2386.94093046491,279.957818190709,-186.708814818464,-2396.34330228794
"OPTOTRAK _ P82 _ Right _ 4",268.162065199988,-198.070683314631,-2386.94613909198,279.912793861952,-186.71176323265,-2396.35065568599
"OPTOTRAK _ P82 _ Right _ 4",268.130703044753,-198.076100093663,-2386.95279874568,279.881265149337,-186.715249398246,-2396.35777125202
"OPTOTRAK _ P82 _ Right _ 4",268.117124815509,-198.081783140406,-2386.96067057123,279.867730786866,-186.719500718184,-2396.36454251879
"OPTOTRAK _ P82 _ Right _ 4",268.12423347565,-198.087163218791,-2386.96861121977,279.87513218083,-186.724201126503,-2396.37026371663
"OPTOTRAK _ P82 _ Right _ 4",268.152744142192,-198.091303646824,-2386.97496968457,279.904147740385,-186.728627773002,-2396.37384786169
"OPTOTRAK _ P82 _ Right _ 4",268.200733922904,-198.093289413524,-2386.97818322255,279.952780701185,-186.731907185449,-2396.37419712011
"OPTOTRAK _ P82 _ Right _ 4",268.263625840549,-198.092596462686,-2386.97732979695,280.016389724421,-186.733288830799,-2396.37058351734
"OPTOTRAK _ P82 _ Right _ 4",268.334700441316,-198.089291835569,-2386.97241075085,280.088226931987,-186.732338091257,-2396.36289940321
"OPTOTRAK _ P82 _ Right _ 4",268.406116054516,-198.083990739796,-2386.96425888942,280.160449595245,-186.72899449315,-2396.35169157638
"OPTOTRAK _ P82 _ Right _ 4",268.470283434474,-198.077612764154,-2386.95415427769,280.225463539393,-186.723508509845,-2396.33798880804
"OPTOTRAK _ P82 _ Right _ 4",268.521311016119,-198.071078334656,-2386.94338063712,280.277347264284,-186.716328534979,-2396.32302698586
"OPTOTRAK _ P82 _ Right _ 4",268.556170814061,-198.065105128523,-2386.93296611763,280.313033267087,-186.708024490657,-2396.30801392109
"OPTOTRAK _ P82 _ Right _ 4",268.575275402263,-198.060185889502,-2386.92370980727,280.332934023334,-186.699291910217,-2396.29402771382
"OPTOTRAK _ P82 _ Right _ 4",268.582293664627,-198.056705324958,-2386.91639624746,280.340810532647,-186.691002222377,-2396.28203494104
"OPTOTRAK _ P82 _ Right _ 4",268.583218643475,-198.055067591439,-2386.91197744655,280.342861565471,-186.684205118617,-2396.27292260552
"OPTOTRAK _ P82 _ Right _ 4",268.584884705698,-198.055708959641,-2386.91152694757,280.346208789142,-186.679996051955,-2396.26742941669
"OPTOTRAK _ P82 _ Right _ 4",268.593277438144,-198.058949473573,-2386.91591300081,280.357120519693,-186.679235963508,-2396.26594055349
"OPTOTRAK _ P82 _ Right _ 4",268.612057577997,-198.064736269266,-2386.92530468827,280.379419083899,-186.68220168244,-2396.26821365693
"OPTOTRAK _ P82 _ Right _ 4",268.641695791644,-198.072398051331,-2386.93873242153,280.413513452038,-186.688300801875,-2396.27316675979
"OPTOTRAK _ P82 _ Right _ 4",268.679468319121,-198.080543290534,-2386.95393459824,280.456356755437,-186.695983122516,-2396.27885768552
"OPTOTRAK _ P82 _ Right _ 4",268.720322698972,-198.087192183063,-2386.9676314343,280.502365437276,-186.702927389734,-2396.28272745971
"OPTOTRAK _ P82 _ Right _ 4",268.758366402945,-198.090145286365,-2386.97620148852,280.545039406442,-186.706493231613,-2396.28208682035
"OPTOTRAK _ P82 _ Right _ 4",268.788546752605,-198.087494222005,-2386.97656633198,280.578802876252,-186.704332148297,-2396.27472817749
"OPTOTRAK _ P82 _ Right _ 4",268.808036624231,-198.078120411733,-2386.96700042988,280.600522629471,-186.694986497579,-2396.25948789783
"OPTOTRAK _ P82 _ Right _ 4",268.816934230353,-198.062032538909,-2386.94761505813,280.610271652584,-186.678300051263,-2396.23659088814
"OPTOTRAK _ P82 _ Right _ 4",268.818098754582,-198.040448284682,-2386.92038508612,280.611149758075,-186.655518788272,-2396.20767387805
"OPTOTRAK _ P82 _ Right _ 4",268.816208857248,-198.015599211378,-2386.88873110527,280.608265397986,-186.629053346342,-2396.17547813264
